YPAY,BID,UNLIMWAT,GOVTPUR,ENVIRON,WATERBILL,HHINC,URBAN
1,3,0,1,0,48,55000,1
1,5,0,1,0,48,55000,1
0,3,0,1,0,48,35000,1
1,5,0,1,0,48,35000,1
1,1,1,1,0,48,65000,1
1,5,0,1,0,48,75000,1
1,8,1,1,1,48,75000,1
1,1,0,1,0,48,95000,1
1,2,0,1,1,48,55000,1
0,40,0,1,0,48,15000,1
1,1,1,1,0,48,45000,1
1,2,1,0,0,48,15000,1
1,8,0,1,0,48,45000,1
1,50,0,1,1,48,45000,1
1,3,1,1,0,48,95000,1
1,3,1,1,0,48,65000,1
0,20,1,1,0,48,25000,1
0,30,0,1,0,48,45000,1
1,12,0,0,0,48,35000,1
1,2,0,1,0,48,15000,1
1,5,1,1,0,48,45000,1
1,8,0,1,0,48,35000,1
1,12,0,1,1,48,45000,1
0,30,1,1,0,48,125000,1
0,10,0,0,0,48,95000,1
0,10,0,1,0,48,85000,1
0,20,0,1,0,48,45000,1
0,100,1,0,0,35,125000,1
1,20,0,0,0,35,55000,1
0,30,1,1,0,35,25000,1
1,5,0,1,0,35,65000,1
0,40,0,1,1,35,35000,1
1,50,0,1,1,35,125000,1
1,3,0,1,0,35,65000,1
1,8,0,1,0,35,45000,1
1,10,0,1,0,35,125000,1
1,12,1,1,1,35,125000,1
1,1,1,1,0,35,25000,1
0,30,0,1,0,35,55000,1
0,40,1,1,0,35,55000,1
1,3,1,1,0,35,15000,1
1,2,0,1,0,35,65000,1
1,20,0,1,1,35,125000,1
1,5,0,1,0,35,95000,1
0,8,1,1,0,35,15000,1
1,10,0,1,0,35,55000,1
1,12,0,1,0,35,55000,1
0,50,0,1,0,35,65000,1
1,2,0,1,0,35,45000,1
1,1,1,1,0,35,75000,1
0,8,0,1,1,59,75000,0
0,10,0,0,0,59,75000,0
0,12,1,1,1,59,15000,0
1,2,0,1,0,59,35000,0
1,3,0,1,0,59,55000,0
0,30,1,0,0,59,45000,0
1,1,0,1,0,59,15000,0
1,12,1,0,0,24,45000,1
1,10,0,1,0,24,25000,1
1,5,1,1,0,24,25000,1
0,20,1,1,0,24,55000,1
1,3,1,1,0,24,25000,1
0,50,1,1,0,24,85000,1
1,1,0,1,1,24,25000,1
1,1,0,1,0,24,25000,1
1,3,0,1,1,24,125000,1
1,2,0,1,1,24,55000,1
0,40,1,1,0,24,15000,1
1,5,1,1,0,24,7500,1
0,30,1,1,0,24,45000,1
0,8,1,0,0,24,75000,1
1,50,0,1,1,24,75000,1
0,30,0,0,0,24,55000,1
1,40,0,1,1,24,15000,1
0,50,0,1,0,24,55000,1
1,1,1,0,0,24,15000,1
1,2,0,1,0,24,55000,1
1,1,0,0,0,24,65000,1
0,10,1,1,0,18,45000,0
0,12,1,0,0,18,15000,0
0,5,1,0,0,18,,0
0,3,1,0,0,18,35000,0
1,1,1,1,0,18,15000,0
0,20,1,0,0,18,65000,0
1,2,0,1,1,18,85000,0
0,30,1,0,0,18,85000,0
1,40,1,1,1,18,55000,0
0,8,1,0,0,18,15000,0
0,8,0,0,0,29,15000,0
1,20,0,1,0,29,15000,0
0,10,1,0,0,29,35000,0
1,20,1,1,1,29,175000,0
1,5,1,1,0,29,65000,0
1,8,1,1,0,29,55000,0
0,12,1,0,0,29,35000,0
