ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Arches NP,ARCH,National Park,Intermountain ,UT,1979,1,"2,970",0,"10,998",0,0,0,35,47,5,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,2,"3,135",0,"15,573",0,0,0,108,120,29,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,3,"14,659",0,"104,265",0,0,0,"1,143","1,115",254,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,4,"31,818",0,"224,598",0,0,0,"2,152","2,342",401,0,486,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,5,"39,266",0,"299,310",0,0,0,"2,380","3,112",927,0,"1,144",Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,6,"43,503",0,"271,917",0,0,0,"2,577","2,390",179,0,746,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,7,"36,524",0,"243,180",0,0,0,"2,843","2,073",46,0,605,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,8,"43,309",0,"266,683",0,0,0,"3,351","2,021",102,0,363,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,9,"30,813",0,"209,751",0,0,0,"2,291","2,201",141,0,255,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,10,"15,273",0,"120,315",0,0,0,"1,154","1,626",164,0,160,Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,"1,825,420",0,0,0,"18,772","17,605","2,332",0,"3,759"
