Date,TempMax,TempMin,TempMean,Precipitation,PrecipHours,WindSpeed,SunshineDuration
1979-01-01,15.7,-4.3,7.1,0,0,9.7,30651.81
1979-01-02,19.9,-8.9,5.8,0,0,4.4,30697.04
1979-01-03,28,4.8,16.1,0,0,3,30745.88
1979-01-04,33.3,11,23,0.004,1,4.2,26770.6
1979-01-05,33.9,11.7,23.3,0.091,9,2.9,4452.86
1979-01-06,33.3,24.7,28.7,0.106,11,3.6,24559.35
1979-01-07,28.5,13.6,21.8,0,0,2.2,30975.97
1979-01-08,26.9,0.8,14.4,0.004,1,3.2,31041.82
1979-01-09,28.8,8,19.4,0.067,6,3.8,7581
1979-01-10,29.4,15.7,22.1,0,0,4.6,31185.47
1979-01-11,35.6,18.6,26.9,0.075,5,2.5,25952.58
1979-01-12,34.2,21.8,28.5,0.087,8,6.7,21724.8
1979-01-13,29.5,7.4,21.4,0,0,5.6,31430.89
1979-01-14,26.4,-6.4,12.2,0.028,5,4.7,4166.17
1979-01-15,34.4,16.4,26.1,0.043,3,2.5,25562.88
1979-01-16,38,25.5,32.6,0.039,7,4.1,25469.48
1979-01-17,35.3,19.1,28.3,0.213,14,5.2,264.42
1979-01-18,36.7,25.8,31.9,0.126,10,5.2,31907.88
1979-01-19,31.6,21.3,26.4,0.13,11,5.9,32011.89
1979-01-20,28.3,3.6,17.4,0,0,3.5,32118.4
1979-01-21,28.7,3.8,16.5,0,0,3.2,32227.21
1979-01-22,27.7,13.8,20.7,0,0,13.2,32338.19
1979-01-23,21.9,-2.7,10.5,0,0,3.3,32397.25
1979-01-24,24.5,-2.1,11.8,0,0,3.4,28802.47
1979-01-25,28.5,17.1,22.2,0.031,5,3.4,15856.6
1979-01-26,28.4,17.3,22.8,0.287,20,5.4,1494.73
1979-01-27,20.9,5.9,14.5,0,0,2.5,32553.93
1979-01-28,20.2,-5.3,8.6,0.028,3,3.8,30011.4
1979-01-29,18.6,9.2,13.4,0.067,7,9.4,29952.08
1979-01-30,11.8,0.5,6.2,0,0,2.4,32806.09
1979-01-31,16.3,-12.9,3.9,0.13,10,3.4,21804.65
1979-02-01,22.8,13.1,17.5,0.098,10,2.9,29716.87
1979-02-02,22.5,12.1,17,0,0,2.6,31025.53
1979-02-03,15.6,-1.7,9.9,0,0,3.8,33028.02
1979-02-04,18.9,-3,8.5,0,0,2.7,30002.43
1979-02-05,18.5,-9.6,8.5,0,0,3.1,33633.5
1979-02-06,23.8,1.2,11.4,0,0,3.4,33717.63
1979-02-07,30.8,1.9,16.3,0,0,3.6,31767.4
1979-02-08,32.6,10.3,21.4,0,0,2.7,33032.72
1979-02-09,32.7,5.6,20.4,0,0,3.2,34449.58
1979-02-10,31.9,7.1,20.2,0,0,3.8,34499.88
1979-02-11,32.6,13.3,23.5,0,0,3,33033.87
1979-02-12,35,15.4,26.4,0,0,3.1,31561.14
1979-02-13,44.3,18,30.9,0,0,4,35045.57
1979-02-14,45.2,21.9,33.2,0,0,16.9,35351.23
1979-02-15,40,24.3,33,0.004,1,3.4,35528.14
1979-02-16,39.7,18.9,29.9,0,0,3.9,35217.6
1979-02-17,37.8,20.9,29.1,0,0,4,35658.95
1979-02-18,42.4,13.6,27.9,0,0,3.4,34745.43
1979-02-19,42.4,20.9,31.4,0.126,8,3.1,6194.71
1979-02-20,40.7,28.3,32.9,0.02,2,5.5,31230.18
