Date,Year,Month,TempMax_Mean,TempMin_Mean,TempMean,TempRange,TotalPrecipitation,AvgPrecipitation,PrecipDays,PrecipHours,AvgWindSpeed,MaxWindSpeed,TotalSunshine,AvgSunshine,DaysInMonth
1979-01-01,1979,1,27.587096774193547,8.864516129032259,18.85483870967742,18.72258064516129,1.556,0.050193548387096776,18,136,4.54516129032258,13.2,213.7543861111111,6.895302777777778,31
1979-02-01,1979,2,34.79642857142857,14.62142857142857,24.942857142857143,20.175,0.7949999999999999,0.028392857142857136,8,57,5.025,16.9,243.0587944444445,8.68067123015873,28
1979-03-01,1979,3,50.10645161290323,29.40967741935484,39.616129032258065,20.696774193548386,2.327,0.07506451612903227,16,141,8.703225806451613,18.7,305.2596666666666,9.847086021505376,31
1979-04-01,1979,4,62.56,37.22333333333333,50.45666666666666,25.336666666666666,0.649,0.02163333333333333,7,29,12.04,23.5,347.40992222222224,11.580330740740742,30
1979-05-01,1979,5,72.82903225806452,48.10322580645161,61.73225806451613,24.725806451612904,1.0750000000000002,0.034677419354838715,8,52,10.451612903225806,24.2,398.53358888888897,12.855922222222222,31
1979-06-01,1979,6,86.68666666666667,56.74,73.87666666666667,29.946666666666665,0.30000000000000004,0.009999999999999997,4,23,12.356666666666667,22.6,395.51146388888884,13.183715462962963,30
1979-07-01,1979,7,94.70967741935483,67.02903225806452,82.65483870967742,27.68064516129032,0.02,6.45161290322581e-4,3,4,10.958064516129033,18.8,407.8266972222222,13.155699910394265,31
1979-08-01,1979,8,88.40322580645162,62.248387096774195,76.7,26.15483870967742,1.0210000000000001,0.03293548387096775,8,38,10.251612903225807,14.1,386.16048055555564,12.456789695340502,31
1979-09-01,1979,9,86.85333333333334,57.43,73.72666666666666,29.423333333333336,0.036000000000000004,0.0012000000000000003,3,5,9.58,15.7,344.7076833333333,11.49025611111111,30
1979-10-01,1979,10,71.80322580645162,47.483870967741936,60.23870967741936,24.31935483870968,0.205,0.006612903225806453,4,18,9.216129032258065,26.9,304.48596944444444,9.822128046594981,31
1979-11-01,1979,11,43.86333333333334,25.35,34.52333333333333,18.513333333333335,1.034,0.034466666666666666,8,80,6.566666666666666,16.2,247.9294138888889,8.264313796296296,30
1979-12-01,1979,12,40.45483870967742,20.44516129032258,29.92258064516129,20.00967741935484,0.661,0.02132258064516129,7,54,4.083870967741936,11.3,241.53956666666664,7.791598924731183,31
1980-01-01,1980,1,42.061290322580646,25.648387096774194,33.435483870967744,16.412903225806453,1.803,0.05816129032258064,16,135,9.606451612903225,27.8,230.45803611111108,7.434130197132617,31
1980-02-01,1980,2,48.33793103448276,29.151724137931033,38.279310344827586,19.186206896551724,1.8440000000000003,0.06358620689655173,13,110,9.337931034482759,19.6,247.32162499999993,8.528331896551725,29
1980-03-01,1980,3,48.95483870967742,29.67741935483871,38.748387096774195,19.27741935483871,1.945,0.06274193548387097,18,134,11.13225806451613,20.6,307.9594944444444,9.934177240143368,31
